#{"t_start": 1736919827.828591, "env_id": "BicycleBalance-v0"}
r,l,t
-9.293307,10,7.740132
-7.246764,9,7.749132
-6.502618,8,7.756134
-9.280267,11,7.765136
-4.021847,20,7.784691
-2.612084,14,7.797691
-6.657519,11,7.80669
-5.607445,14,7.81969
-8.962185,11,7.82969
-7.932447,9,7.838691
-1.760624,24,7.859689
-7.087384,12,8.801982
-6.467579,16,8.815982
-8.889992,8,8.821983
-8.074817,11,8.830983
-4.988826,14,8.844994
-5.037983,13,8.858
-9.220593,18,8.875981
-7.622557,12,8.885983
-5.974446,10,8.894985
-4.550335,13,8.904985
-5.489742,15,8.917985
-7.927525,21,8.936981
-6.30759,27,8.963981
5.090248,23,8.982986
-8.561749,11,8.991984
-9.243418,11,9.001982
-2.304735,15,9.014995
-8.841437,14,9.027983
-5.113604,11,9.03598
0.191573,18,9.050587
-4.958543,12,9.065751
-8.040631,9,9.073751
-6.008415,11,9.083757
-8.878739,19,9.102753
-5.307454,16,9.117765
-1.136572,15,9.132753
-4.74498,19,9.151477
-8.117949,13,9.163465
-5.065827,12,9.174463
-10.097497,19,9.192474
-8.684845,11,9.203473
-6.226079,14,9.218516
-11.794173,8,9.226531
-4.614569,16,9.242463
-9.701323,15,9.256463
-5.870315,18,9.273466
-2.50594,24,9.296466
-6.882361,15,9.309463
-4.44813,13,9.32147
-9.565093,10,9.33147
-7.403103,12,9.341466
-8.511817,12,9.352464
-7.694539,10,9.363463
-4.982165,11,9.373467
-9.112234,7,9.380465
-5.938453,10,9.39052
-7.778046,13,9.404542
-3.118229,16,9.418466
-4.883831,18,9.436466
-9.534705,8,9.443463
-6.930511,8,9.45047
-10.380692,18,9.468467
-8.658704,16,9.484465
-8.850924,11,9.49654
-8.020172,10,9.505465
-13.881952,10,9.514465
-8.087469,8,9.520466
-3.042211,16,9.534463
-6.085793,13,9.545464
-7.11566,7,9.551466
-9.18965,10,9.558465
-10.464352,10,9.566465
-4.724078,22,9.587534
-8.841409,16,9.600463
-8.159295,19,9.617463
-6.299707,10,9.626463
-5.828391,22,9.643463
-1.870218,20,9.660467
-3.114737,15,9.675463
-1.87615,16,9.688463
-8.879967,16,9.704465
-8.112617,12,9.716463
-4.002962,11,9.726465
0.664114,18,9.741465
-5.748869,11,9.753465
-3.404003,14,9.766465
-12.020354,20,9.790159
-7.727528,17,9.808156
-7.583285,12,9.820371
-8.079003,16,9.835368
-7.508718,10,9.843369
-2.323647,21,9.863368
-3.543187,14,9.875369
-8.350023,11,9.88737
-9.21909,10,9.894371
-8.193417,13,9.90537
-2.751759,14,9.917369
-4.530684,29,9.940369
-9.20753,9,9.94937
-4.021103,21,9.967369
-5.352287,15,9.985369
-6.596752,10,9.994373
-11.790432,12,10.003371
-5.078146,15,10.018372
-10.172161,10,10.02637
-2.764201,19,10.04237
-2.863098,20,10.058368
-7.509795,17,10.075369
-3.276842,14,10.090369
-1.322538,22,10.109371
-8.18957,12,10.120369
-9.028114,11,10.129369
-6.883423,11,10.138911
-9.891104,24,10.15791
-8.70657,10,10.165913
-6.092175,20,10.182912
-7.205527,10,10.192911
-3.563889,14,10.203912
-5.597398,8,10.210912
-6.288749,11,10.220911
-2.752591,13,10.231911
-7.122911,20,10.248912
-4.309724,11,10.256927
-0.910812,18,10.272728
-8.644298,8,10.279734
-5.357246,21,10.299731
-7.915682,16,10.312941
-6.524963,12,10.325942
-7.072876,9,10.334941
-5.042182,14,10.346939
-5.436741,14,10.35894
-9.239789,11,10.366941
-4.590615,18,10.38094
-1.871199,21,10.401941
-7.995167,19,10.41766
-11.647877,12,10.433633
-7.883969,14,10.447637
-7.131855,11,10.458634
-1.954871,17,10.472651
-5.848852,11,10.481633
-10.310637,11,10.491634
-6.224359,9,10.501632
-4.297865,12,10.511632
-11.666425,10,10.520634
-6.726062,14,10.534647
-9.376407,8,10.541633
-6.345469,17,10.556635
-7.902362,14,10.568637
-9.54879,7,10.574632
-2.001834,14,10.585631
-11.754617,9,10.592635
-7.418042,9,10.602652
-8.540978,14,10.614634
-7.095001,11,10.623634
-4.829599,15,10.637631
-7.788736,9,10.644632
-2.363739,14,10.655631
-2.878366,17,11.594659
-4.863885,12,11.605661
-7.001098,16,11.618661
