Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,左边PID数据，右边强化学习数据,Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
70,-0.01690404,-0.036285196,-0.026084446,-0.060077644,-0.968530149,-2.07898859,-1.494528667,-3.442195444,,,70,-0.001960406,-0.008592826,-0.00358521,0.005476904,-0.112322969,-0.492332664,-0.205417416,0.313803499,,,,,,,,,,,,
71,-0.016864421,-0.035788516,-0.025727041,-0.060180804,-0.966260147,-2.050530922,-1.474050869,-3.448106077,,,71,-0.00232382,-0.008876175,-0.003771078,0.003105106,-0.133145052,-0.508567366,-0.216066832,0.177909443,,,,,,,,,,,,
72,-0.016824707,-0.035285271,-0.02535916,-0.060246284,-0.963984703,-2.021697107,-1.45297284,-3.451857805,,,72,-0.003032289,-0.006233285,-0.002086151,-0.001145898,-0.173737343,-0.357140923,-0.119527627,-0.065655108,,,,,,,,,,,,
73,-0.016784618,-0.034778136,-0.024981052,-0.060268448,-0.961687772,-1.992640412,-1.431308847,-3.453127708,,,73,-0.002856865,-0.004658068,-0.002301824,-0.005638007,-0.163686291,-0.266887637,-0.131884772,-0.323034007,,,,,,,,,,,,
74,-0.016744488,-0.034269885,-0.024594208,-0.060243312,-0.959388493,-1.963519775,-1.409144319,-3.451687521,,,74,-0.00087968,-0.002770224,-0.002858599,-0.008948263,-0.050401928,-0.158722144,-0.163785677,-0.512697726,,,,,,,,,,,,
75,-0.016704615,-0.033763097,-0.024198728,-0.060168457,-0.957103938,-1.934482961,-1.386484984,-3.447398646,,,75,-0.00078398,0.000246689,-0.002549692,-0.009921675,-0.044918741,0.014134239,-0.146086592,-0.568470083,,,,,,,,,,,,
76,-0.016664947,-0.033260105,-0.023795491,-0.060042946,-0.954831129,-1.905663643,-1.363381206,-3.440207395,,,76,-0.001145276,0.004918509,-0.000474779,-0.007711433,-0.065619454,0.281809807,-0.027202847,-0.44183258,,,,,,,,,,,,
77,-0.016625334,-0.032763838,-0.023385632,-0.059867199,-0.952561471,-1.877229638,-1.339898015,-3.430137834,,,77,-0.000832329,0.007540499,-0.000300215,-0.001862712,-0.047688937,0.432038768,-0.017201042,-0.106725523,,,,,,,,,,,,
78,-0.016585726,-0.032275243,-0.02297044,-0.059643602,-0.9502921,-1.849235207,-1.316109266,-3.41732667,,,78,0.001048391,0.008773937,-0.000639498,0.003966724,0.060068379,0.50270956,-0.036640535,0.227276565,,,,,,,,,,,,
79,-0.016546816,-0.031795557,-0.022564899,-0.059374437,-0.948062721,-1.821751223,-1.292873478,-3.401904651,,,79,0.000888483,0.009462577,-0.000376535,0.009906857,0.050906354,0.542165725,-0.021573856,0.56762112,,,,,,,,,,,,
80,-0.016507807,-0.031325793,-0.022159226,-0.059063312,-0.94582767,-1.794835729,-1.269630127,-3.384078502,,,80,4.83E-05,0.00597857,0.001387959,0.012038132,0.002767897,0.342546829,0.079524195,0.689734167,,,,,,,,,,,,
81,-0.016468439,-0.030866695,-0.0217525,-0.058714637,-0.94357205,-1.768531351,-1.246326444,-3.364100896,,,81,-0.000308893,0.000118415,0.001050751,0.011089312,-0.017698279,0.00678468,0.060203575,0.635370759,,,,,,,,,,,,
82,-0.016429028,-0.030418735,-0.021345341,-0.058333364,-0.941313966,-1.742865134,-1.222997952,-3.342255562,,,82,0.000784521,-0.006306453,-1.25E-05,0.008194625,0.044949734,-0.361333141,-0.000717255,0.469517422,,,,,,,,,,,,
83,-0.016389863,-0.029982143,-0.020938624,-0.057924836,-0.939069977,-1.717850255,-1.199694784,-3.318848632,,,83,-0.000301219,-0.011771147,-0.000609793,0.004627946,-0.017258582,-0.674437043,-0.034938577,0.265161777,,,,,,,,,,,,
84,-0.016350908,-0.029556945,-0.020533274,-0.057494571,-0.93683802,-1.693488204,-1.17646994,-3.294196263,,,84,-0.002030857,-0.015052752,0.000251849,0.001546109,-0.116359555,-0.86245916,0.014429887,0.088585548,,,,,,,,,,,,
85,-0.016312007,-0.029143785,-0.020130919,-0.057048075,-0.934609156,-1.66981588,-1.153416696,-3.268613927,,,85,-0.003090186,-0.015120073,-0.001087169,-0.000109418,-0.177054631,-0.866316369,-0.06229022,-0.006269162,,,,,,,,,,,,
86,-0.016273102,-0.028741665,-0.01973173,-0.056591382,-0.932380064,-1.646776101,-1.130544851,-3.242447345,,,86,-0.0024259,-0.011194817,-0.003021475,0.00039435,-0.138993821,-0.641415767,-0.173117742,0.022594592,,,,,,,,,,,,
87,-0.016234889,-0.028350014,-0.019336334,-0.056129147,-0.930190621,-1.624336151,-1.107890329,-3.215963231,,,87,0.000746894,-0.003071376,-0.004188304,-0.000849019,0.042793877,-0.175976882,-0.239972139,-0.048645181,,,,,,,,,,,,
88,-0.016196583,-0.027968235,-0.018945351,-0.055666031,-0.927995848,-1.602461826,-1.085488654,-3.189428639,,,88,0.002871994,0.005473552,-0.003510022,-0.002511064,0.164553142,0.313611429,-0.201109441,-0.143873387,,,,,,,,,,,,
89,-0.016157915,-0.027595672,-0.01855933,-0.055206285,-0.925780335,-1.581115538,-1.06337128,-3.163087133,,,89,0.004772179,0.009716015,-0.000212676,-0.003440004,0.273425702,0.556686653,-0.012185459,-0.197097693,,,,,,,,,,,,
90,-0.016119209,-0.027231657,-0.018178771,-0.054753668,-0.923562645,-1.560259015,-1.041566855,-3.137154089,,,90,0.007210958,0.0103431,0.002157783,-0.002712475,0.413157441,0.592615977,0.123631858,-0.155413384,,,,,,,,,,,,
91,-0.016080751,-0.026875487,-0.017804072,-0.054311353,-0.921359164,-1.539851977,-1.020098184,-3.111811307,,,91,0.006590932,0.008261993,0.004412982,0.000351097,0.377632573,0.473377329,0.252845263,0.020116379,,,,,,,,,,,,
92,-0.016042491,-0.026526448,-0.017435548,-0.053881962,-0.919167027,-1.519853516,-0.998983314,-3.087209014,,,92,0.004193588,0.004670169,0.007262423,0.002050715,0.240274885,0.267580973,0.416106214,0.117497301,,,,,,,,,,,,
93,-0.016004285,-0.026184596,-0.017074115,-0.053467505,-0.916977985,-1.500266839,-0.978274728,-3.063462378,,,93,0.001370226,0.000792623,0.007092722,0.003299299,0.07850817,0.045413953,0.406383014,0.189035921,,,,,,,,,,,,
94,-0.015966083,-0.025848676,-0.016719413,-0.053070028,-0.914789171,-1.481020041,-0.957951801,-3.040688623,,,94,-0.000640516,-0.002307899,0.005099297,0.004885357,-0.036698864,-0.132232872,0.292168196,0.279910359,,,,,,,,,,,,
95,-0.015928554,-0.02551794,-0.016371444,-0.052689981,-0.912638918,-1.462070264,-0.938014646,-3.018913534,,,95,-0.000819978,-0.00378858,0.002574201,0.003086303,-0.046981259,-0.217069644,0.147490836,0.176832116,,,,,,,,,,,,
96,-0.01589093,-0.025191779,-0.01603025,-0.052327679,-0.910483222,-1.443382615,-0.91846567,-2.998155158,,,96,-0.00289185,-0.003014169,0.000727529,-0.000491207,-0.165690777,-0.172699162,0.041684331,-0.0281441,,,,,,,,,,,,
97,-0.015852958,-0.024869654,-0.015695818,-0.051983059,-0.908307586,-1.424926212,-0.899304127,-2.978409887,,,97,-0.005212901,0.000472452,0.000573186,-0.004291608,-0.298677232,0.027069506,0.032841137,-0.245891021,,,,,,,,,,,,
98,-0.015814949,-0.02455109,-0.015368103,-0.05165565,-0.906129831,-1.406673839,-0.880527441,-2.959650733,,,98,-0.006401831,0.002749445,-0.00157379,-0.006953927,-0.366797925,0.157531595,-0.090171529,-0.398430677,,,,,,,,,,,,
99,-0.015777176,-0.024235668,-0.015047029,-0.051344672,-0.903965597,-1.38860149,-0.862131256,-2.941833006,,,99,-0.005395205,0.004521125,-0.004120864,-0.00738637,-0.309122498,0.259041381,-0.236108116,-0.423207827,,,,,,,,,,,,
100,-0.015739605,-0.023923034,-0.014732482,-0.05104904,-0.901812938,-1.370688881,-0.84410904,-2.92489454,,,,,,,,,,,,,,,100,-0.001489372,0.006443494,-0.005695697,-0.004813022,-0.085334723,0.369185012,-0.326339378,-0.275765826
101,-0.015702089,-0.023613564,-0.01442488,-0.050767456,-0.899663429,-1.352957556,-0.826484744,-2.908760965,,,,,,,,,,,,,,,101,0.001743184,0.004711067,-0.005213543,-0.003013564,0.099877064,0.269924256,-0.298714018,-0.172664472
