Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree,,,,,,,,,,,,
97,-0.005212901,0.000472452,0.000573186,-0.004291608,-0.298677232,0.027069506,0.032841137,-0.245891021,,,,,,,,,,,,
98,-0.006401831,0.002749445,-0.00157379,-0.006953927,-0.366797925,0.157531595,-0.090171529,-0.398430677,,,,,,,,,,,,
99,-0.005395205,0.004521125,-0.004120864,-0.00738637,-0.309122498,0.259041381,-0.236108116,-0.423207827,,,,,,,,,,,,
,,,,,,,,,,,,100,-0.001489372,0.006443494,-0.005695697,-0.004813022,-0.085334723,0.369185012,-0.326339378,-0.275765826
,,,,,,,,,,,,101,0.001743184,0.004711067,-0.005213543,-0.003013564,0.099877064,0.269924256,-0.298714018,-0.172664472
,,,,,,,,,,,,102,0.004985406,0.000839882,-0.001921398,-0.00083808,0.28564274,0.048121694,-0.110087981,-0.048018456
,,,,,,,,,,,,103,0.004290307,-0.00362515,0.000588582,0.002412384,0.245816495,-0.207705795,0.033723237,0.138219449
,,,,,,,,,,,,104,0.001243492,-0.007306307,0.00316724,0.002945904,0.071246843,-0.418620555,0.181469491,0.168787884
,,,,,,,,,,,,105,-0.002580514,-0.009074576,0.006452742,0.002043177,-0.147852589,-0.519934906,0.369714899,0.117065395
,,,,,,,,,,,,106,-0.005747229,-0.008062393,0.006797746,0.000880281,-0.329291964,-0.461941092,0.389482133,0.050436377
,,,,,,,,,,,,107,-0.007071291,-0.003727531,0.005326182,0.000514783,-0.405155148,-0.213571794,0.305167758,0.029494909
,,,,,,,,,,,,108,-0.005663845,0.000175436,0.003253601,0.0018367,-0.324514389,0.010051742,0.186417599,0.105235183
,,,,,,,,,,,,109,-0.005478882,0.004251281,0.001741326,0.001200008,-0.313916827,0.243580459,0.099770627,0.068755384
,,,,,,,,,,,,110,-0.004965554,0.00888701,0.001782909,-7.08E-05,-0.284505274,0.509188165,0.102153177,-0.004059037
,,,,,,,,,,,,111,-0.00306322,0.010260287,-0.000296408,-0.000806502,-0.175509601,0.587871142,-0.016982945,-0.046209157
,,,,,,,,,,,,112,0.000891988,0.009217327,-0.002953771,-3.34E-05,0.051107152,0.528113935,-0.169238623,-0.001914108
,,,,,,,,,,,,113,0.003250677,0.006883797,-0.00482781,-0.001457223,0.186250054,0.394412515,-0.276613132,-0.08349271
,,,,,,,,,,,,114,0.004864626,0.004432349,-0.00481808,-0.003465794,0.278722518,0.253954891,-0.276055673,-0.198575344
,,,,,,,,,,,,115,0.006501127,0.002898691,-0.002129842,-0.004691262,0.372487148,0.16608276,-0.122030952,-0.268789522
,,,,,,,,,,,,116,0.004486608,-0.001523034,-0.000389115,-0.004053785,0.257063703,-0.08726342,-0.022294628,-0.232264773
,,,,,,,,,,,,117,0.000441636,-0.007009128,0.001424206,-0.000788964,0.025303869,-0.401593452,0.081600985,-0.045204326
,,,,,,,,,,,,118,-0.004012789,-0.011950834,0.004049916,0.001535498,-0.229915846,-0.68473235,0.232043067,0.087977544
,,,,,,,,,,,,119,-0.007447547,-0.015004537,0.003816808,0.003767686,-0.426712999,-0.859696644,0.218686962,0.2158725
,,,,,,,,,,,,120,-0.008704957,-0.015018347,0.002064979,0.006604128,-0.498757294,-0.860487898,0.118314595,0.378388688
,,,,,,,,,,,,121,-0.006929825,-0.011132508,8.52E-05,0.006422233,-0.397049723,-0.637845724,0.00488065,0.367966832
,,,,,,,,,,,,122,-0.006135359,-0.003101502,-0.000966631,0.004445332,-0.35153015,-0.177702975,-0.05538388,0.254698741
,,,,,,,,,,,,123,-0.004810347,0.00532564,-0.000144145,0.001966846,-0.275612577,0.305136695,-0.008258894,0.112691997
,,,,,,,,,,,,124,-0.002014815,0.009419472,-0.001112107,0.000190957,-0.115440404,0.539695991,-0.063719024,0.010941019
,,,,,,,,,,,,125,0.002792531,0.009924753,-0.002411689,0.000123429,0.160000214,0.56864646,-0.138179619,0.007071971
,,,,,,,,,,,,126,0.005944854,0.007782468,-0.002827835,-0.001935776,0.340615068,0.445902571,-0.162022994,-0.110911806
,,,,,,,,,,,,127,0.008052919,0.004204127,-0.001412826,-0.004380561,0.461398251,0.240878734,-0.080948971,-0.250987683
,,,,,,,,,,,,128,0.009840906,0.000417033,-0.001894318,-0.00583686,0.563842382,0.023894231,-0.10853643,-0.33442744
,,,,,,,,,,,,129,0.007643659,-0.002518596,-0.002743063,-0.005224719,0.437949412,-0.144304921,-0.157165956,-0.299354349
,,,,,,,,,,,,130,0.003011104,-0.003763213,-0.002740118,-0.001801876,0.172523537,-0.215616222,-0.156997173,-0.103239913
,,,,,,,,,,,,131,-0.00238842,-0.002686218,-0.000958615,0.00084223,-0.136846399,-0.153908954,-0.054924566,0.048256228
,,,,,,,,,,,,132,-0.007068394,-0.003378392,-0.001098763,0.003527772,-0.404989148,-0.193567603,-0.062954466,0.202126445
,,,,,,,,,,,,133,-0.009833805,-0.004436429,-0.001694066,0.006880558,-0.563435528,-0.254188658,-0.097062811,0.394226951
,,,,,,,,,,,,134,-0.009754662,-0.004712319,-0.001572976,0.007248278,-0.558900955,-0.26999599,-0.090124892,0.415295744
,,,,,,,,,,,,135,-0.00620493,-0.003327701,0.000178498,0.005736627,-0.355516324,-0.190663223,0.010227202,0.32868454
,,,,,,,,,,,,136,-0.003055927,0.000317497,-8.64E-05,0.003564565,-0.175091706,0.018191238,-0.004948901,0.204234533
,,,,,,,,,,,,137,0.000613135,0.002473555,-0.00094074,0.001903876,0.03513004,0.141724262,-0.05390046,0.109084041
,,,,,,,,,,,,138,0.005238127,0.003991882,-0.001198356,0.001758015,0.300122585,0.228717991,-0.068660751,0.100726825
,,,,,,,,,,,,139,0.00700546,0.005614717,9.77E-05,-0.000558612,0.401383289,0.321699587,0.005595652,-0.032006119
,,,,,,,,,,,,140,0.006802605,0.003578951,-0.000709328,-0.003467455,0.389760552,0.205058787,-0.040641499,-0.198670533
,,,,,,,,,,,,141,0.005635311,-0.000473642,-0.00209287,-0.005574075,0.322879518,-0.027137688,-0.119912617,-0.31937096
,,,,,,,,,,,,142,0.004549961,-0.004926876,-0.002774854,-0.005748842,0.260693586,-0.282289201,-0.158987418,-0.329384359
,,,,,,,,,,,,143,0.004503145,-0.00836139,-0.001743213,-0.003181041,0.258011194,-0.479072358,-0.099878753,-0.182260235
,,,,,,,,,,,,144,0.001759063,-0.009619396,-0.002760516,-0.00154462,0.100786886,-0.551150792,-0.158165914,-0.08850021
,,,,,,,,,,,,145,-0.002105138,-0.007835823,-0.004156396,0.000268333,-0.120615543,-0.448959587,-0.238143949,0.015374339
,,,,,,,,,,,,146,-0.005620257,-0.002518463,-0.004587038,0.003006763,-0.322016997,-0.144297301,-0.262817946,0.172274842
,,,,,,,,,,,,147,-0.007547623,0.00266976,-0.003043611,0.002947547,-0.432446964,0.15296598,-0.174386047,0.168882025
,,,,,,,,,,,,148,-0.006927547,0.008000745,-0.003350961,0.001455554,-0.396919225,0.458408921,-0.191995896,0.083397098
,,,,,,,,,,,,149,-0.00312523,0.009540561,-0.003870248,-0.000199134,-0.179062471,0.546633879,-0.221748892,-0.01140953
,,,,,,,,,,,,150,0.00018253,0.008226138,-0.003363431,-0.000892884,0.010458202,0.471322989,-0.192710417,-0.051158471
,,,,,,,,,,,,151,0.003698768,0.005258508,-0.000944313,0.000291394,0.211923807,0.301290315,-0.054105124,0.016695619
,,,,,,,,,,,,152,0.007909347,0.001917941,-0.000280363,-0.000290527,0.453172228,0.109889925,-0.016063639,-0.016645984
,,,,,,,,,,,,153,0.009069724,-0.000650445,-5.24E-05,-0.001261131,0.519656924,-0.037267753,-0.002999758,-0.072257492
,,,,,,,,,,,,154,0.008092347,-0.001521301,0.000767917,-0.00146609,0.463657337,-0.087164127,0.043998385,-0.084000782
,,,,,,,,,,,,155,0.006103922,1.81E-05,0.00302237,1.71E-05,0.349728963,0.001037054,0.17316905,0.000980345
,,,,,,,,,,,,156,0.004251662,0.000148866,0.003137531,-0.00046767,0.243602293,0.008529394,0.179767306,-0.02679551
,,,,,,,,,,,,157,0.003546963,4.89E-06,0.002328525,-0.001474233,0.203225985,0.000280176,0.133414653,-0.084467303
,,,,,,,,,,,,158,0.000252972,0.000536984,0.001720482,-0.001800765,0.014494245,0.030766917,0.098576378,-0.103176258
,,,,,,,,,,,,159,-0.003966927,0.00253469,0.002314819,-0.0004902,-0.227288175,0.145227039,0.132629332,-0.028086369
,,,,,,,,,,,,160,-0.007603727,0.002309464,0.000513577,-0.001230856,-0.435661439,0.13232254,0.029425768,-0.070522869
,,,,,,,,,,,,161,-0.009398162,0.001123467,-0.002105301,-0.002480952,-0.538475011,0.064369918,-0.120624856,-0.142148086
,,,,,,,,,,,,162,-0.008378434,0.000131452,-0.004133204,-0.002970758,-0.480048906,0.007531645,-0.236815125,-0.170211908
,,,,,,,,,,,,163,-0.003942424,0.000332821,-0.004414309,-0.001709798,-0.225884275,0.019069239,-0.252921248,-0.097964191
,,,,,,,,,,,,164,0.000238792,-0.002054502,-0.00209447,-0.002455157,0.013681753,-0.117714294,-0.12000432,-0.140670108
,,,,,,,,,,,,165,0.004726667,-0.005262999,-0.000771301,-0.003583424,0.27081806,-0.30154763,-0.044192315,-0.205315047
,,,,,,,,,,,,166,0.0054653,-0.007750719,0.000663939,-0.003799453,0.313138648,-0.444083487,0.038040887,-0.217692607
,,,,,,,,,,,,167,0.003753094,-0.00825686,0.003017715,-0.002130145,0.215036438,-0.47308323,0.17290233,-0.122048315
,,,,,,,,,,,,168,0.000921386,-0.005876938,0.002620512,-0.002337628,0.052791534,-0.336723744,0.150144252,-0.133936229
,,,,,,,,,,,,169,-0.001744042,-0.004482145,0.000892267,-0.002862213,-0.099926272,-0.256807992,0.051123153,-0.163992699
,,,,,,,,,,,,170,-0.003138354,-0.002681242,-0.000855777,-0.002501069,-0.179814435,-0.15362385,-0.049032402,-0.143300671
,,,,,,,,,,,,171,-0.002394642,0.000357135,-0.001482414,-0.000359332,-0.137202872,0.020462328,-0.084936068,-0.020588221
,,,,,,,,,,,,172,-0.003381124,0.000731941,-7.24E-05,-8.82E-05,-0.193724149,0.04193713,-0.004146871,-0.005054492
,,,,,,,,,,,,173,-0.004563372,-9.55E-05,-0.000240434,-0.000328693,-0.261461965,-0.005471747,-0.013775876,-0.018832734
,,,,,,,,,,,,174,-0.004708809,-0.000892497,-0.000673254,1.48E-05,-0.26979486,-0.051136311,-0.038574616,0.000850218
,,,,,,,,,,,,175,-0.002902901,-0.000621188,-0.000294393,0.001834347,-0.166324001,-0.035591451,-0.016867478,0.105100339
,,,,,,,,,,,,176,-0.003069273,0.00155157,0.001764595,0.001541806,-0.17585639,0.088898413,0.101103825,0.088338956
,,,,,,,,,,,,177,-0.003617376,0.002014687,0.001924757,0.000480865,-0.207260402,0.115433062,0.110280463,0.02755152
,,,,,,,,,,,,178,-0.003326276,0.001910911,0.001417897,-0.000166365,-0.190581581,0.109487135,0.081239493,-0.009532
,,,,,,,,,,,,179,-0.001300377,0.002246015,0.001328177,0.000598439,-0.074506089,0.12868718,0.076098938,0.034288003
,,,,,,,,,,,,180,-0.001338836,0.003913417,0.00259705,-0.000868988,-0.07670965,0.224222278,0.14880001,-0.049789324
,,,,,,,,,,,,181,-0.001946569,0.003319089,0.001646536,-0.002962604,-0.111530164,0.190169792,0.094339587,-0.169744701
,,,,,,,,,,,,182,-0.001933931,0.001752038,-0.000111127,-0.004305998,-0.110806088,0.100384383,-0.006367097,-0.246715486
,,,,,,,,,,,,183,-0.000375797,0.000426291,-0.001406792,-0.003803334,-0.02153159,0.024424675,-0.080603255,-0.217914959
,,,,,,,,,,,,184,-0.001007653,0.00039835,-0.001179152,-0.000666382,-0.057734255,0.022823774,-0.067560447,-0.038180851
,,,,,,,,,,,,185,-0.002285465,-0.002024317,-0.003183273,0.001557193,-0.130947527,-0.11598482,-0.182388117,0.089220574
,,,,,,,,,,,,186,-0.002929003,-0.005089028,-0.00564159,0.003726229,-0.167819497,-0.291579826,-0.323239306,0.213497206
,,,,,,,,,,,,187,-0.001927592,-0.007277728,-0.00706516,0.006552944,-0.110442864,-0.416983099,-0.404803828,0.375456018
,,,,,,,,,,,,188,0.001471456,-0.00736968,-0.006299156,0.006429801,0.084308196,-0.42225156,-0.360915078,0.368400437
,,,,,,,,,,,,189,0.00368989,-0.004515176,-0.002583077,0.004566548,0.211415107,-0.258700529,-0.147999391,0.261643946
,,,,,,,,,,,,190,0.005516148,-0.00239539,0.000522004,0.002240893,0.31605202,-0.137245737,0.029908637,0.128393712
,,,,,,,,,,,,191,0.007726247,0.00010174,0.003791124,0.000643251,0.442681332,0.005829273,0.217215384,0.036855565
,,,,,,,,,,,,192,0.006714008,0.003639636,0.007780444,0.000771659,0.384684296,0.208535782,0.445786625,0.044212794
,,,,,,,,,,,,193,0.003824279,0.004525249,0.008817181,-0.00103801,0.219115035,0.259277669,0.505187232,-0.059473581
,,,,,,,,,,,,194,0.000476621,0.003904009,0.007850971,-0.003249795,0.027308368,0.223683239,0.449827523,-0.186199552
,,,,,,,,,,,,195,-0.00203864,0.002890724,0.006026444,-0.004541987,-0.11680548,0.165626285,0.345289803,-0.260236662
,,,,,,,,,,,,196,-0.002671939,0.002537841,0.004496236,-0.003870438,-0.153090836,0.145407578,0.257615333,-0.221759753
,,,,,,,,,,,,197,-0.000624781,-0.000853424,0.004276413,-0.000491828,-0.035797332,-0.048897593,0.245020419,-0.028179657
,,,,,,,,,,,,198,0.000448696,-0.005418089,0.00165934,0.002019921,0.025708369,-0.310433633,0.095073178,0.11573293
,,,,,,,,,,,,199,0.001561729,-0.00947969,-0.001813236,0.004446665,0.089480488,-0.543146228,-0.10389078,0.254775152
,,,,,,,,,,,,200,0.003531285,-0.01162757,-0.004723747,0.007466263,0.202327727,-0.666210687,-0.27065077,0.427785376
,,,,,,,,,,,,201,0.00269761,-0.010745021,-0.005894474,0.007441673,0.154561684,-0.615644354,-0.337728495,0.426376452
,,,,,,,,,,,,202,0.000510376,-0.006145236,-0.004440131,0.005531927,0.029242409,-0.352096087,-0.254400771,0.316956055
