encoder_value,roll_value,gyro_value,pid
-29,-3.501,9.284,-39.143
-27,-3.554,8.758,-62.385
-23,-3.601,7.348,-106.116
-20,-3.638,5.133,-86.244
-15,-3.66,2.134,-96.508
-12,-3.668,-0.913,-39.851
-9,-3.658,-3.678,-5.078
-7,-3.635,-6.067,44.872
-7,-3.604,-7.541,108.125
-7,-3.565,-8.033,128.843
-9,-3.527,-7.719,173.244
-9,-3.492,-6.608,132.85
-12,-3.465,-4.894,160.266
-12,-3.448,-2.749,80.018
-13,-3.445,-0.523,44.321
-13,-3.452,1.26,-13.059
-12,-3.467,2.476,-70.629
-10,-3.487,2.891,-121.568
-7,-3.506,2.128,-154.499
-3,-3.52,0.604,-179.848
0,-3.523,-1.454,-157.556
3,-3.51,-4.338,-119.029
6,-3.482,-7.165,-79.213
6,-3.442,-9.053,5.442
7,-3.392,-10.176,22.652
6,-3.342,-10.293,67.157
4,-3.293,-9.348,87.72
2,-3.25,-7.666,78.709
0,-3.221,-5.258,47.675
-1,-3.204,-2.725,-11.412
0,-3.2,-0.438,-102.608
0,-3.21,1.461,-146.102
2,-3.224,2.123,-211.389
4,-3.24,1.606,-227.897
9,-3.25,0.271,-288.962
12,-3.246,-2.169,-246.359
16,-3.229,-5.045,-229.949
18,-3.2,-7.467,-169.147
20,-3.157,-9.367,-137.644
20,-3.107,-10.656,-75.885
21,-3.053,-11.23,-72.426
19,-2.997,-11.085,-11.572
19,-2.944,-10.133,-44.38
17,-2.899,-8.645,-30.01
16,-2.86,-7.016,-61.13
15,-2.832,-5.171,-91.108
14,-2.814,-3.308,-123.506
15,-2.803,-1.97,-188.366
16,-2.8,-1.164,-222.654
18,-2.798,-0.91,-265.229
20,-2.795,-1.339,-280.503
23,-2.789,-2.304,-303.465
25,-2.777,-3.725,-281.74
27,-2.756,-5.316,-262.681
30,-2.727,-6.767,-268.244
31,-2.69,-8.178,-219.45
33,-2.645,-9.358,-215.606
32,-2.598,-9.896,-151.881
33,-2.548,-9.969,-171.743
32,-2.499,-9.789,-135.708
32,-2.452,-9.347,-147.268
31,-2.406,-8.762,-131.609
31,-2.365,-8.069,-151.05
30,-2.327,-7.334,-140.872
29,-2.293,-6.589,-140.466
29,-2.263,-5.785,-165.021
29,-2.236,-5.098,-178.282
29,-2.213,-4.556,-188.232
29,-2.193,-3.97,-200.093
29,-2.175,-3.535,-208.367
30,-2.158,-3.425,-230.674
31,-2.142,-3.486,-239.753
32,-2.125,-3.761,-242.797
32,-2.105,-4.23,-217.845
33,-2.083,-4.721,-223.281
33,-2.058,-5.273,-195.082
34,-2.03,-5.792,-198.509
34,-2.0,-6.109,-175.539
33,-1.968,-6.27,-142.793
34,-1.936,-6.143,-171.498
