encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
169,-0.719,0.571,-1.502,731.4
170,-0.725,0.47,9.082,728.1
171,-0.727,-0.092,1.243,736.7
172,-0.726,-0.74,27.607,747.4
173,-0.725,-1.088,14.613,755.8
174,-0.719,-1.571,37.53,770.7
175,-0.711,-2.182,78.01,790.5
176,-0.702,-2.539,35.332,800.0
177,-0.69,-2.919,88.32,800.0
178,-0.674,-3.243,68.641,800.0
179,-0.662,-3.189,78.699,800.0
180,-0.646,-3.165,103.644,800.0
181,-0.63,-3.137,74.808,800.0
182,-0.618,-2.724,97.619,800.0
183,-0.606,-2.278,101.815,800.0
184,-0.596,-1.969,64.353,800.0
185,-0.59,-1.42,82.432,793.8
186,-0.585,-0.83,81.37,783.0
187,-0.583,-0.546,65.452,776.8
188,-0.582,-0.222,12.108,765.7
189,-0.583,0.126,43.143,754.7
190,-0.586,0.315,6.293,745.5
191,-0.59,0.473,32.688,736.1
192,-0.594,0.404,2.383,732.4
193,-0.598,0.157,17.316,732.3
194,-0.6,-0.04,-0.38,731.7
195,-0.6,-0.393,-4.501,736.8
196,-0.598,-0.866,39.898,745.2
197,-0.595,-1.164,17.145,751.3
198,-0.59,-1.474,57.832,760.9
199,-0.582,-1.801,36.564,771.8
200,-0.574,-1.953,51.216,780.4
201,-0.565,-2.137,57.914,791.4
202,-0.555,-2.274,63.561,800.0
203,-0.545,-2.23,64.407,800.0
204,-0.536,-2.16,64.515,800.0
205,-0.526,-2.047,63.468,800.0
206,-0.518,-1.87,60.538,800.0
207,-0.51,-1.697,80.033,800.0
208,-0.503,-1.487,44.533,799.0
209,-0.497,-1.234,70.364,794.8
210,-0.493,-0.973,55.499,789.3
211,-0.49,-0.704,26.461,782.0
212,-0.488,-0.477,29.824,774.9
213,-0.487,-0.341,48.995,768.8
214,-0.488,-0.205,13.878,762.0
215,-0.488,-0.116,20.386,756.2
216,-0.488,-0.215,23.062,754.7
217,-0.489,-0.313,3.171,752.7
218,-0.489,-0.431,37.74,752.4
219,-0.486,-0.765,15.715,757.9
220,-0.482,-1.07,11.095,762.9
221,-0.478,-1.208,69.425,765.9
222,-0.473,-1.363,34.37,770.4
223,-0.466,-1.57,50.123,776.8
224,-0.46,-1.722,32.979,782.9
225,-0.452,-1.86,69.655,789.9
226,-0.443,-2.025,44.498,798.1
227,-0.434,-2.119,80.166,800.0
228,-0.424,-2.185,52.458,800.0
229,-0.414,-2.264,65.674,800.0
230,-0.403,-2.137,86.846,800.0
231,-0.395,-1.901,50.868,800.0
232,-0.386,-1.807,104.115,800.0
233,-0.377,-1.505,57.491,796.6
234,-0.374,-0.962,75.203,785.2
235,-0.36,-2.692,114.99,800.0
236,-0.329,-6.02,231.807,800.0
237,-0.303,-5.6,194.565,800.0
238,-0.29,-2.173,160.23,772.1
239,-0.288,0.611,91.505,724.8
240,-0.298,2.727,46.938,676.9
241,-0.317,4.191,62.963,628.6
242,-0.338,4.958,56.694,594.4
243,-0.368,5.94,-37.96,543.1
244,-0.405,7.018,-55.937,496.8
245,-0.442,7.124,-65.873,471.2
246,-0.477,6.575,-80.699,458.8
247,-0.512,6.095,-65.801,446.6
248,-0.541,5.414,-53.521,442.9
249,-0.568,4.692,-39.498,440.8
250,-0.593,4.353,-57.977,432.3
251,-0.615,3.945,-42.521,429.3
252,-0.635,3.38,-53.781,430.2
253,-0.654,3.068,-40.292,426.4
254,-0.671,2.71,-11.539,426.9
255,-0.684,2.198,-54.413,431.1
256,-0.697,1.937,-9.632,430.9
257,-0.708,1.69,-36.65,433.1
258,-0.716,1.232,-17.072,441.3
259,-0.724,0.949,-10.979,446.3
260,-0.731,0.83,-31.687,448.4
261,-0.736,0.57,-16.764,454.7
262,-0.74,0.328,-11.016,459.4
263,-0.744,0.258,-32.378,450.1
264,-0.747,0.112,2.374,457.7
265,-0.748,-0.179,1.036,462.1
266,-0.748,-0.348,-16.971,468.3
267,-0.748,-0.475,-4.672,471.8
268,-0.746,-0.788,4.1,482.7
269,-0.743,-1.068,12.271,492.9
270,-0.74,-1.167,38.026,501.1
271,-0.735,-1.334,12.039,512.0
272,-0.729,-1.655,30.725,528.2
273,-0.722,-1.93,39.403,545.0
274,-0.714,-2.2,25.8,564.2
275,-0.704,-2.615,70.351,589.0
276,-0.691,-2.947,27.815,613.9
277,-0.678,-3.179,77.043,638.1
278,-0.662,-3.454,78.593,664.6
279,-0.646,-3.564,62.205,688.0
280,-0.63,-3.532,96.005,709.5
281,-0.613,-3.438,87.998,728.4
282,-0.599,-3.16,106.024,741.7
283,-0.585,-2.778,89.787,750.5
