encoder_value,roll_value,gyro_value,pid,predicted_pid_to_send
990,-1.757,7.588,-66.471,0.0
991,-1.796,7.544,-72.772,0.0
992,-1.834,7.381,-98.155,0.0
993,-1.874,7.575,-79.516,0.0
994,-1.914,7.804,-124.727,0.0
995,-1.954,7.907,-126.158,0.0
996,-1.996,8.265,-143.807,0.0
997,-2.041,8.753,-187.831,0.0
998,-2.086,9.1,-174.4,0.0
999,-2.134,9.547,-226.967,0.0
1000,-2.186,10.146,-243.914,0.0
1001,-2.239,10.648,-267.581,0.0
1002,-2.295,11.164,-314.618,0.0
1003,-2.355,11.87,-313.594,0.0
1004,-2.418,12.576,-375.988,0.0
1005,-2.484,13.248,-397.754,0.0
1006,-2.555,14.086,-433.748,0.0
1007,-2.63,15.017,-495.511,0.0
1008,-2.709,15.965,-504.646,0.0
1009,-2.793,17.1,-582.739,0.0
1010,-2.884,18.41,-626.406,0.0
1011,-2.981,19.744,-680.826,0.0
1012,-3.086,21.185,-739.456,0.0
1013,-3.198,22.85,-800.0,0.0
1014,-3.319,24.671,-800.0,0.0
1015,-3.449,26.65,-800.0,0.0
1016,-3.601,27.515,-800.0,0.0
1017,-3.743,26.104,-800.0,0.0
1018,-3.872,23.646,-800.0,0.0
1019,-4.0,21.121,-800.0,0.0
1020,-4.104,17.583,-800.0,0.0
1021,-4.179,12.452,-800.0,0.0
1022,-4.239,8.154,-800.0,0.0
1023,-4.283,5.49,-800.0,0.0
1024,-4.307,2.341,-800.0,0.0
1025,-4.315,-0.391,-800.0,0.0
1026,-4.32,-1.817,-800.0,0.0
1027,-4.311,-3.651,-800.0,0.0
1028,-4.29,-5.601,-800.0,0.0
1029,-4.269,-6.52,-800.0,0.0
1030,-4.24,-7.492,-800.0,0.0
1031,-4.2,-9.088,-800.0,0.0
1032,-4.157,-10.057,-800.0,0.0
1033,-4.112,-10.331,-800.0,0.0
1034,-4.062,-10.903,-800.0,0.0
1035,-4.011,-11.281,-800.0,0.0
1036,-3.961,-11.2,-800.0,0.0
1037,-3.906,-11.412,-800.0,0.0
1038,-3.851,-11.353,-800.0,0.0
1039,-3.806,-10.531,-800.0,0.0
1040,-3.764,-9.853,-800.0,0.0
1041,-3.72,-9.29,-800.0,0.0
1042,-3.682,-8.142,-800.0,0.0
1043,-3.65,-6.877,-800.0,0.0
1044,-3.62,-5.86,-800.0,0.0
1045,-3.597,-4.493,-800.0,0.0
1046,-3.583,-2.844,-800.0,0.0
1047,-3.573,-1.583,-800.0,0.0
1048,-3.569,-0.33,-800.0,0.0
1049,-3.575,1.495,-800.0,0.0
1050,-3.59,3.334,-800.0,0.0
1051,-3.611,4.852,-800.0,0.0
1052,-3.642,6.702,-800.0,0.0
1053,-3.685,8.959,-800.0,0.0
1054,-3.737,10.919,-800.0,0.0
1055,-3.796,12.713,-800.0,0.0
1056,-3.865,15.064,-800.0,0.0
1057,-3.95,17.677,-800.0,0.0
1058,-4.044,19.83,-800.0,0.0
1059,-4.148,22.008,-800.0,0.0
1060,-4.27,25.05,-800.0,0.0
1061,-4.408,28.21,-800.0,0.0
1062,-4.555,30.68,-800.0,0.0
1063,-4.716,33.746,-800.0,0.0
1064,-4.903,38.012,-800.0,0.0
1065,-5.105,41.767,-800.0,0.0
1066,-5.319,44.916,-800.0,0.0
1067,-5.559,49.535,-800.0,0.0
1068,-5.83,55.217,-800.0,0.0
1069,-6.117,60.064,-800.0,0.0
1070,-6.429,65.403,-800.0,0.0
1071,-6.783,72.745,-800.0,0.0
1072,-7.17,80.123,-800.0,0.0
1073,-7.584,86.936,-800.0,0.0
1074,-8.044,95.29,-800.0,0.0
1075,-8.555,104.311,-800.0,0.0
1076,-9.1,111.549,-800.0,0.0
1077,-9.686,117.823,-800.0,0.0
1078,-10.317,123.191,-800.0,0.0
