Step,Roll Angle 0 degree (rad unit),Roll Angle 3 degree (rad unit),Roll Angle 5 degree (rad unit),Roll Angle 7 degree (rad unit),Roll Angle 0 degree,Roll Angle 3 degree,Roll Angle 5 degree,Roll Angle 7 degree
176,-0.013121559,-0.007347912,-0.002139426,-0.033171524,-0.751809951,-0.421004346,-0.12258008,-1.900588325
177,-0.013089912,-0.007217009,-0.002072942,-0.032967297,-0.749996712,-0.413504156,-0.118770828,-1.88888698
178,-0.013058235,-0.00708791,-0.002008146,-0.032763557,-0.748181753,-0.406107329,-0.11505829,-1.877213538
179,-0.013026761,-0.00696059,-0.001945,-0.03256029,-0.746378426,-0.39881243,-0.111440291,-1.865567197
180,-0.012995466,-0.00683504,-0.00188348,-0.032357523,-0.744585355,-0.391618945,-0.107915455,-1.853949503
181,-0.012964201,-0.006711242,-0.001823618,-0.032155316,-0.742794002,-0.384525842,-0.104485615,-1.842363896
182,-0.012932939,-0.006589179,-0.001765335,-0.031953712,-0.741002821,-0.377532147,-0.101146245,-1.830812837
183,-0.012902238,-0.006468841,-0.001708584,-0.031752745,-0.739243784,-0.370637288,-0.097894652,-1.819298276
184,-0.012871449,-0.006350397,-0.001653338,-0.03155247,-0.737479704,-0.363850946,-0.09472929,-1.807823364
185,-0.012840374,-0.006233679,-0.001599558,-0.031353278,-0.735699238,-0.357163498,-0.091647922,-1.796410503
186,-0.012809281,-0.006118635,-0.001548192,-0.031154929,-0.73391774,-0.350571962,-0.088704867,-1.785045943
187,-0.012778389,-0.006005257,-0.001498379,-0.030957408,-0.732147759,-0.344075881,-0.085850793,-1.773728823
188,-0.01274766,-0.005893523,-0.001449933,-0.03076073,-0.730387117,-0.337673994,-0.083075041,-1.762460004
189,-0.012716965,-0.005783418,-0.001402784,-0.030564931,-0.728628423,-0.331365443,-0.080373603,-1.751241547
190,-0.012686273,-0.005674924,-0.001356907,-0.030370023,-0.726869901,-0.325149194,-0.077745044,-1.740074142
